name,race,gender,callback,mother_education,warmth,competence,warmth_count,competence_count,warmth_std,competence_std
Emily,white,female,7.9,96.6,70.58035714285714,69.07476635514018,112,107,23.06498394874761,21.556289164400138
Anne,white,female,8.3,93.1,69.76785714285714,72.8425925925926,112,108,22.37799037055055,20.51813059065742
Jill,white,female,8.4,92.3,66.46428571428571,67.0925925925926,112,108,22.117185267793094,22.04817878211643
Allison,white,female,9.5,95.7,65.93693693693693,70.72222222222223,111,108,23.61905212449524,19.87805502686544
Laurie,white,female,9.7,93.4,68.25892857142857,66.63888888888889,112,108,21.87093407699491,22.450967688626765
Sarah,white,female,9.8,97.9,68.8785046728972,68.26785714285714,107,112,20.907121780367785,19.920554888820423
Meredith,white,female,10.2,81.8,61.7196261682243,67.04464285714286,107,112,24.711846671114387,19.811903052811523
Carrie,white,female,13.1,80.7,63.13084112149533,61.473214285714285,107,112,22.702790166878433,21.046905925450158
Kristen,white,female,13.1,93.4,63.52336448598131,64.83928571428571,107,112,21.723974146651603,21.450783211484385
Todd,white,male,5.9,87.7,57.375,64.44444444444444,112,108,25.217298867288743,21.122842015899767
Neil,white,male,6.6,85.7,58.74107142857143,67.25925925925925,112,108,25.74642301254289,22.386732707461665
Geoffrey,white,male,6.8,96.0,56.580357142857146,62.68518518518518,112,108,23.50757531453632,23.818491264847363
Brett,white,male,6.8,93.9,57.57142857142857,63.27358490566038,112,106,24.418540543306882,22.58593452692687
Brendan,white,male,7.7,96.7,61.74107142857143,64.51851851851852,112,108,24.73307794811727,23.556447013833427
Greg,white,male,7.8,88.3,58.22641509433962,66.49107142857143,106,112,21.62991007570763,19.076420772050753
Matthew,white,male,9.0,93.1,64.20560747663552,69.58558558558559,107,111,23.254838538019946,19.20864789547025
Jay,white,male,13.4,85.4,59.504672897196265,60.901785714285715,107,112,22.25172193115464,22.718790025129422
Brad,white,male,15.9,90.5,56.401869158878505,62.92857142857143,107,112,23.428679334124013,21.578983054178185
Aisha,african_american,female,2.2,77.2,51.794642857142854,51.68518518518518,112,108,27.137002560699443,26.20110868316583
Keisha,african_american,female,3.8,68.8,52.142857142857146,50.50925925925926,112,108,26.25648170267356,25.666988642772868
Tamika,african_american,female,5.5,61.5,50.125,48.74074074074074,112,108,27.002544091018308,26.186737875643665
Lakisha,african_american,female,5.5,55.6,38.43396226415094,41.763636363636365,53,55,27.509096001953655,26.695098479464033
Tanisha,african_american,female,5.8,64.0,49.788288288288285,48.26728110599078,222,217,27.121233566690098,26.836309160028897
Latoya,african_american,female,8.4,55.5,45.35576923076923,44.294642857142854,104,112,25.65753481156019,25.707515777275468
Kenya,african_american,female,8.7,70.2,50.21495327102804,47.089285714285715,107,112,24.507229598470232,24.96828747962863
Latonya,african_american,female,9.1,31.3,44.271028037383175,44.455357142857146,107,112,25.626699701920533,26.424766022251916
Ebony,african_american,female,9.6,65.6,47.52336448598131,44.8125,107,112,25.578715279816077,26.181807606610157
Rasheed,african_american,male,3.0,77.3,47.973214285714285,49.907407407407405,112,108,27.582622751717754,25.632389351557745
Tremayne,african_american,male,4.3,68.0,44.455357142857146,46.03703703703704,112,108,27.78290627260548,25.04721743865326
Kareem,african_american,male,4.7,67.4,49.5625,51.092592592592595,112,108,27.86769942372659,25.88310784508534
Darnell,african_american,male,4.8,66.1,48.973214285714285,51.101851851851855,112,108,26.842704923187366,25.577055947296166
Tyrone,african_american,male,5.3,64.0,42.36448598130841,47.598214285714285,107,112,25.019008819847997,24.17409074710285
Hakim,african_american,male,5.5,73.7,42.160377358490564,50.455357142857146,106,112,25.24324965588975,25.098683929768807
Jamal,african_american,male,6.6,73.9,44.345794392523366,48.38392857142857,107,112,26.000400143415177,25.67862557564776
Leroy,african_american,male,9.4,53.3,48.47663551401869,48.1875,107,112,26.137281186434194,24.82534713474034
Jermaine,african_american,male,9.6,57.5,47.094339622641506,50.945945945945944,106,111,24.708020021225337,24.540814922320674
