name,race,gender,callback,mother_education,warmth,competence,warmth_count,competence_count,warmth_std,competence_std
Emily,white,female,7.9,96.6,69.39285714285714,68.94444444444444,56,54,21.94760585114929,23.95705014337798
Anne,white,female,8.3,93.1,66.85714285714286,70.01818181818182,56,55,21.11219257501871,22.11040555191229
Jill,white,female,8.4,92.3,66.05357142857143,64.10909090909091,56,55,21.060449483986147,24.83774959036758
Allison,white,female,9.5,95.7,65.4,69.45454545454545,55,55,21.50331585110986,21.69725889994042
Laurie,white,female,9.7,93.4,68.42857142857143,64.54545454545455,56,55,20.28690320276709,24.618434963809946
Sarah,white,female,9.8,97.9,69.01886792452831,69.54545454545455,53,55,22.708428260854475,19.518100034486675
Meredith,white,female,10.2,81.8,58.056603773584904,68.16363636363636,53,55,28.18033622550116,20.24000771882048
Carrie,white,female,13.1,80.7,62.79245283018868,60.18181818181818,53,55,26.05494083556606,20.86294864736589
Kristen,white,female,13.1,93.4,60.18867924528302,64.65454545454546,53,55,25.449086883856186,22.93890289428128
Todd,white,male,5.9,87.7,56.30357142857143,61.92727272727273,56,55,25.234118060390266,22.644478147495267
Neil,white,male,6.6,85.7,58.589285714285715,67.92727272727272,56,55,24.071693512742904,22.339016312981418
Geoffrey,white,male,6.8,96.0,53.910714285714285,59.74545454545454,56,55,19.618429911891326,26.055651396519906
Brett,white,male,6.8,93.9,58.80357142857143,62.074074074074076,56,54,21.911740018751377,24.661368347055003
Brendan,white,male,7.7,96.7,62.19642857142857,65.6,56,55,24.37615798115195,24.720361977452843
Greg,white,male,7.8,88.3,56.21153846153846,66.63636363636364,52,55,24.26838218871038,19.94377619093758
Matthew,white,male,9.0,93.1,62.867924528301884,69.49090909090908,53,55,27.336252159870792,21.820711132853447
Jay,white,male,13.4,85.4,56.490566037735846,59.945454545454545,53,55,24.86782184138728,23.62156750045287
Brad,white,male,15.9,90.5,55.16981132075472,63.654545454545456,53,55,25.22265148711845,21.26744876811455
Aisha,african_american,female,2.2,77.2,53.267857142857146,47.654545454545456,56,55,26.114079150338235,27.763030428716867
Keisha,african_american,female,3.8,68.8,51.982142857142854,50.89090909090909,56,55,25.214347338138893,27.066223810876743
Tamika,african_american,female,5.5,61.5,49.785714285714285,47.054545454545455,56,55,25.4356330483719,28.05907668672981
Lakisha,african_american,female,5.5,55.6,38.43396226415094,41.763636363636365,53,55,27.509096001953655,26.695098479464033
Tanisha,african_american,female,5.8,64.0,49.67857142857143,46.351851851851855,56,54,28.454178247495744,28.777059395451367
Latoya,african_american,female,8.4,55.5,38.75,40.14545454545455,52,55,27.305730921849918,25.681394174265673
Kenya,african_american,female,8.7,70.2,45.886792452830186,46.21818181818182,53,55,27.55181159572081,25.7262590370307
Latonya,african_american,female,9.1,31.3,36.886792452830186,43.6,53,55,25.697695479854346,27.347286411526724
Ebony,african_american,female,9.6,65.6,41.79245283018868,43.67272727272727,53,55,26.89535167914425,27.93382029902671
Rasheed,african_american,male,3.0,77.3,46.07142857142857,46.6,56,55,26.278132729329524,27.264547594918124
Tremayne,african_american,male,4.3,68.0,45.035714285714285,44.345454545454544,56,55,25.671324140310396,26.314492684688513
Kareem,african_american,male,4.7,67.4,48.589285714285715,46.527272727272724,56,55,26.065495677908466,27.70937436337074
Darnell,african_american,male,4.8,66.1,50.875,51.63636363636363,56,55,25.90546625363423,26.449367167647384
Tyrone,african_american,male,5.3,64.0,37.45283018867924,46.30909090909091,53,55,25.985621791924036,23.657175504737516
Hakim,african_american,male,5.5,73.7,37.9622641509434,48.67272727272727,53,55,26.10479050064813,27.140958896686932
Jamal,african_american,male,6.6,73.9,40.35849056603774,44.96363636363636,53,55,28.385461026338707,26.795496882846816
Leroy,african_american,male,9.4,53.3,44.75471698113208,48.63636363636363,53,55,27.960759357726094,26.40381821179687
Jermaine,african_american,male,9.6,57.5,41.943396226415096,51.44444444444444,53,54,26.583985270444618,25.380624512192973
