target,warmth,competence,warmth_norm,competence_norm
Democrat,55.384735,63.076725,0.24960046,-0.013463018
Republican,55.318302,61.125267,0.19449128,-0.7589904
immigrant,55.545998,60.347694,0.3833751,-1.0560513
American,55.208157,62.731663,0.10312047,-0.14528926
Mexican,55.73855,61.67049,0.5431047,-0.5506954
British,56.84568,65.29749,1.4615215,0.8349505
Jewish,54.69201,61.83759,-0.32504767,-0.4868576
Russian,54.424103,65.34151,-0.5472882,0.85176545
Muslim,55.177498,61.30876,0.07768765,-0.68888885
Obama,52.809887,61.374077,-1.8863543,-0.6639361
Trump,52.99362,62.0766,-1.7339377,-0.3955472
Clinton,53.487724,63.084965,-1.3240571,-0.010315138
antifa,55.39081,62.713337,0.25463828,-0.15229037
astrologer,56.17891,63.21014,0.9084044,0.037506413
astronaut,57.061714,71.48319,1.6407316,3.198111
